,job_title,salary
0,Агрономч,"2,100,000 - 2,500,000 Тохиролцоно"
1,Төслийн менежер /4 хүн/,"1,500,000 - 1,800,000 Тохиролцоно"
2,Гадаад харилцааны менежер (Англи хэлтэй),"2,100,000 - 2,500,000 Тохиролцоно"
3,Дотоод худалдан авалтын мэргэжилтэн,"1,200,000 - 1,500,000"
4,Кассын нярав,"1,200,000 - 1,500,000"
5,Зөгийчин сургаж ажилд авна,"1,500,000 - 1,800,000"
6,БОРЛУУЛАЛТЫН МЕНЕЖЕР /ЭМЭГТЭЙ/,"1,800,000 - 2,100,000"
7,Оффис туслах/ Ресепшн,"1,000,000 - 1,200,000"
8,НЯГТЛАН БОДОГЧ /ЯАРМАГ БОЛОН БАЯНЗҮРХ ДҮҮРЭГТ/,"1,500,000 - 1,800,000"
9,Хүний нөөцийн ажилтан ажилд авна.,"1,500,000 - 1,800,000"
10,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
11,Үл Хөдлөх Хөрөнгө Зуучлагч сургаж ажилд авна,"2,100,000 - 2,500,000"
12,Тооцооны нягтлан ажилд авна,"1,500,000 - 1,800,000"
13,Угаагч /Үндсэн/,"1,200,000 - 1,500,000"
14,ТОГООЧ,"1,200,000 - 1,500,000"
15,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
16,Ресторанд Зөөгч/7 хоногт 5 өдөр ажиллах боломжтой/,"1,000,000 - 1,200,000"
17,Заалны ажилтан/Түргэн хоолны газар/,"1,000,000 - 1,200,000"
18,Угаагч,"1,000,000 - 1,200,000"
19,Тогооч,"800,000 - 1,000,000 Тохиролцоно"
20,"Хүний нөөцийн менежер,","2,500,000 - 3,000,000 Тохиролцоно"
21,МТ архитектур өгөгдлийн газарт Шийдлийн архитект, Тохиролцоно
22,График дизайнер,"1,500,000 - 1,800,000 Тохиролцоно"
23,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000 Тохиролцоно"
24,БРЭНД ХӨГЖҮҮЛЭЛТИЙН МЭРГЭЖИЛТЭН /МАРКЕТИНГ/,"1,500,000 - 1,800,000"
25,ХАБЭА-н Ахлах мэргэжилтэн /Хөдөө ажиллах/,"2,500,000 - 3,000,000"
26,"Рестораны менежер /Өвөрхангай, Дундговьт ажиллах/","2,100,000 - 2,500,000 Тохиролцоно"
27,БАРИЛГЫН ИНЖЕНЕР,"2,500,000 - 3,000,000 Тохиролцоно"
28,Нягтлан бодогч,"1,200,000 - 1,500,000"
29,борлуулалтын менежер/ОРОС ХЭЛНИЙ ЯРИАНЫ ЧАДВАРТАЙ/,"1,800,000 - 2,100,000"
30,Үйлчилгээний ажилтан,"1,000,000 - 1,200,000"
31,Нягтлан бодогч,"1,500,000 - 1,800,000"
32,ХҮЛЭЭН АВАГЧ,"1,200,000 - 1,500,000 Тохиролцоно"
33,Уурхайн нярав,"1,500,000 - 1,800,000"
34,Хятад хэлний орчуулагч /ЦС-н төсөл/,"2,100,000 - 2,500,000"
35,СУУРИЛУУЛАЛТЫН ИНЖЕНЕР,"1,000,000 - 1,200,000"
36,"Борлуулалт, маркетинг хариуцсан менежер","2,500,000 - 3,000,000 Тохиролцоно"
37,ХАРИЛЦАГЧИЙН ЗӨВЛӨХ /ОПЕРАТОР/,"1,000,000 - 1,200,000"
38,ХАБЭА-н ажилтан /хөдөө ажиллах/,"1,500,000 - 1,800,000"
39,Засварын механикч,"1,800,000 - 2,100,000"
40,Жолооч,"1,000,000 - 1,200,000"
41,Зээлийн мэргэжилтэн,"1,200,000 - 1,500,000"
42,Клерк,"1,200,000 - 1,500,000"
43,Үл хөдлөх хөрөнгийн агент,"2,500,000 - 3,000,000"
44,Маркетингийн менежер,"1,500,000 - 1,800,000"
45,Оффис менежер /Гарааны Эс Ти Эс Фүүдс ХХК/,"1,200,000 - 1,500,000 Тохиролцоно"
46,Дулааны инженер,"1,800,000 - 2,100,000 Тохиролцоно"
47,СИСТЕМ АШИГЛАЛТЫН МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
48,СИСТЕМИЙН МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
49,БИЗНЕС АНАЛИСТ,"2,100,000 - 2,500,000"
50,Аж ахуй хариуцсан ажилтан ажилд авна,"1,000,000 - 1,200,000"
51,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ,"2,500,000 - 3,000,000"
52,Үйлдвэрийн нягтлан бодогч,"1,800,000 - 2,100,000"
53,График дизайнер,"1,800,000 - 2,100,000"
54,Харуул хамгаалалтын ажилтан ажилд авна,"800,000 - 1,000,000"
55,Маркетинг идэвхжүүлэлтийн ажилтан,"1,000,000 - 1,200,000"
56,Үйлдвэрийн хятад хэлний орчуулагч эрэгтэй,"1,800,000 - 2,100,000"
57,"Гадаад худалдаа, Тендерийн Менежер","1,200,000 - 1,500,000 Тохиролцоно"
58,"Эмч төлөөлөгч, брэнд менежер","1,800,000 - 2,100,000"
59,JUNIOR ACCOUNTANT,"1,800,000 - 2,100,000"
60,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ,"2,100,000 - 2,500,000"
61,НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
62,Механикийн инженер,"1,800,000 - 2,100,000"
63,Front-End Developer ( Full Stack),"2,100,000 - 2,500,000"
64,БАРИМТ БИЧГИЙН ХЯНАЛТЫН АЖИЛТАН /РОСТЕРООР/,"1,500,000 - 1,800,000"
65,ТОНОГ ТӨХӨӨРӨМЖИЙН АШИГЛАЛТЫН ИНЖЕНЕР /РОСТЕРООР/,"2,100,000 - 2,500,000"
66,Гагнуурчин,"1,500,000 - 1,800,000"
67,ШУГАМ СҮЛЖЭЭНИЙ ЧАНАРЫН ХЯНАЛТЫН ИНЖЕНЕР/РОСТЕРООР,"2,500,000 - 3,000,000"
68,ЭРЧИМ ХҮЧНИЙ ЧАНАРЫН ХЯНАЛТЫН ИНЖЕНЕР /РОСТЕРООР/,"2,100,000 - 2,500,000"
69,ХӨГЖҮҮЛЭГЧ,"1,800,000 - 2,100,000"
70,ХҮНИЙ НӨӨЦИЙН МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
71,ЖОЛООЧ /РОСТЕРООР/,"1,200,000 - 1,500,000"
72,Өрмийн мастер,"2,100,000 - 2,500,000"
73,БИЗНЕС АНАЛИСТ,"2,100,000 - 2,500,000"
74,ХУУЛЬЧ,"2,500,000 - 3,000,000"
75,МЭДЭЭЛЛИЙН АЖИЛТАН /РЕСЕПШН/,"1,200,000 - 1,500,000"
76,НЯГТЛАН БОДОГЧ,"1,800,000 - 2,100,000"
77,Туслах тэсэлгээчин,"1,500,000 - 1,800,000"
78,ТЕЛЛЕР,"1,200,000 - 1,500,000"
79,ЗАХИРГААНЫ АЖИЛТАН,"1,200,000 - 1,500,000"
80,Худалдааны төлөөлөгч,"1,800,000 - 2,100,000"
81,Нүүрсний уурхайд Ашиглалтын геологич ажилд авна,"2,500,000 - 3,000,000"
82,БЕТОН ЗУУРМАГИЙН ҮЙЛДВЭРТ ЧАНАР ХЯНАЛТЫН ИНЖЕНЕР,"2,500,000 - 3,000,000"
83,БЕТОН ЗУУРМАГИЙН ҮЙЛДВЭРТ ТЕХНОЛОГИЧ ИНЖЕНЕР,"1,500,000 - 1,800,000"
84,Программ хөгжүүлэгч,"1,800,000 - 2,100,000 Тохиролцоно"
85,Худалдааны төлөөлөгч,"2,100,000 - 2,500,000"
86,Сүпервайзер,"2,100,000 - 2,500,000"
87,Санхүүгийн дотоод аудитор,"2,500,000 - 3,000,000"
88,Орхон аймагт салбар хариуцсан менежер,"1,200,000 - 1,500,000"
89,ТОГООЧ,"1,200,000 - 1,500,000"
90,Хүний нөөцийн мэргэжилтэн,"1,200,000 - 1,500,000"
91,АХЛАГЧ /ЦАХИЛГААН/,"2,500,000 - 3,000,000"
92,Жолооч тэсэлгээчин,"2,100,000 - 2,500,000"
93,Жолооч,"2,100,000 - 2,500,000"
94,Жолооч оператор,"2,100,000 - 2,500,000"
95,"ХАЛААЛТ, АГААР СЭЛГЭЛТИЙН ИНЖЕНЕР-2","1,500,000 - 1,800,000 Тохиролцоно"
96,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000 Тохиролцоно"
97,Авлагын ажилтан /хувьдаа машинтай/,"1,500,000 - 1,800,000"
98,Чаналгын оператор,"1,000,000 - 1,200,000"
99,Технологич,"1,500,000 - 1,800,000"
100,Багцлагч оператор,"1,000,000 - 1,200,000"
101,Технологийн хэсгийн оператор,"1,000,000 - 1,200,000"
102,ХАБЭА-н ажилтан,"1,800,000 - 2,100,000 Тохиролцоно"
103,ТЕХНОЛОГИЧ ИНЖЕНЕР /БЕТОН ЗУУРМАГ ҮЙЛДВЭР-РОСТЕР/,"2,500,000 - 3,000,000"
104,АЮУЛГҮЙ АЖИЛЛАГААНЫ АЖИЛТАН/БЕТОН ЗУУРМАГ ҮЙЛДВЭР/,"2,100,000 - 2,500,000"
105,ХАРИЛЦАГЧИЙН ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН,"1,200,000 - 1,500,000"
106,Барилгын талбайн нярав,"1,800,000 - 2,100,000"
107,Түгээгч - /Pepsi Mongolia/,"1,500,000 - 1,800,000"
108,ЗЭЭЛИЙН МЕНЕЖЕР /22 НАСНААС ДЭЭШ/,"1,500,000 - 1,800,000"
109,Тооцооны Нягтлан бодогч,"1,000,000 - 1,200,000"
110,Гал тогооны ажилтан  /ОЮУТАН БИШ/,"1,200,000 - 1,500,000"
111,Геодезийн инженер,"2,100,000 - 2,500,000"
112,Худалдааны төлөөлөгч /cүлжээ хариуцсан/,"2,100,000 - 2,500,000"
113,Худалдааны зөвлөх ажилд авна,"1,800,000 - 2,100,000"
114,ГАДААД ХАРИЛЦААНЫ МЕНЕЖЕР,"1,800,000 - 2,100,000"
115,"Электроник, автоматик, цахилгааны инженер","2,500,000 - 3,000,000"
116,МАРКЕТИНГИЙН МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000 Тохиролцоно"
117,Хөдөлмөрийн аюулгүй байдлын менежер,"2,100,000 - 2,500,000"
118,Маркетингийн менежер /Англи хэлтэй/,"1,800,000 - 2,100,000"
119,Сантехник/Дулааны инженер,"2,500,000 - 3,000,000"
120,Хүний нөөцийн менежер,"1,800,000 - 2,100,000"
121,ТЭЭВРИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
122,Худалдааны төлөөлөгч,"1,500,000 - 1,800,000 Тохиролцоно"
123,Хөргөлтийн машинист,"1,200,000 - 1,500,000"
124,Сантехникч,"1,500,000 - 1,800,000"
125,Борлуулалтын бүс хариуцсан менежер,"2,100,000 - 2,500,000"
126,Үйл ажиллагааны аудитор,"1,800,000 - 2,100,000"
127,НЯГТЛАН БОДОГЧ (ББСБ),"1,800,000 - 2,100,000"
128,Гадаад худалдан авалтын менежер,"2,100,000 - 2,500,000"
129,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,"2,500,000 - 3,000,000"
130,Автомашин борлуулалтын албаны менежер,"3,000,000 - 4,000,000"
